signature,timestamp,block,fee,source,destination,amount_sol,type,description,is_jito_bundle,source_is_client,destination_is_competitor
5XwpkQfNxm8SYKbKfHa3qLSeyQev2ZRBrSwZzvF6jartYBPEQ4jiKNwAnggapwgd7YR7metW1C7DG6Eh1krmBuTa,2025-08-09T19:48:07,358916412,5000,29UqxHhQDiWNfoZBe2PnKCjEYrjFVfU42vs3DK3oiYc9,E8wD3SMD1trozPrvSN9F6SyuUXD7rrFDuR3WexGziKG5,10.0,TRANSFER,29UqxHhQDiWNfoZBe2PnKCjEYrjFVfU42vs3DK3oiYc9 transferred 10 SOL to E8wD3SMD1trozPrvSN9F6SyuUXD7rrFDuR3WexGziKG5.,False,False,False
VZH1Q9D37uZ6h3WxE1DUAyxEXokAk3AXNjRFLmLc6qUFJhCRieVwG1FcbifdWrJhsNTrpv4iCDLxdBybQHwKeJJ,2025-08-09T19:39:26,358915108,5000,29UqxHhQDiWNfoZBe2PnKCjEYrjFVfU42vs3DK3oiYc9,18hCV7f9CPmZRAH3QCNZaGHhHeNSfisQKeKuFkQsPLY,10.0,TRANSFER,29UqxHhQDiWNfoZBe2PnKCjEYrjFVfU42vs3DK3oiYc9 transferred 10 SOL to 18hCV7f9CPmZRAH3QCNZaGHhHeNSfisQKeKuFkQsPLY.,False,False,False
2CymZZCZW53c9skKJh88PLQcRxfF3CLQJwzb7hToRbV355LDMoW9pN4y2qjfxi68gfororq9s16HpLybCUXkPVgZ,2025-08-09T19:39:17,358915084,5000,29UqxHhQDiWNfoZBe2PnKCjEYrjFVfU42vs3DK3oiYc9,2sYKRWBNVY6UomMBi4juoMrrL98bqizDMn98cJ3cBmye,10.0,TRANSFER,29UqxHhQDiWNfoZBe2PnKCjEYrjFVfU42vs3DK3oiYc9 transferred 10 SOL to 2sYKRWBNVY6UomMBi4juoMrrL98bqizDMn98cJ3cBmye.,False,False,False
o4qkrWqfE4A8mphPgNWLDqSRAGmvtPZN4dMSSGWiRgkrSz7cq9QcXTZyoWV7Q96n7RY6N9sfRGCHS8WQmcTJmvn,2025-08-09T19:39:11,358915068,5000,29UqxHhQDiWNfoZBe2PnKCjEYrjFVfU42vs3DK3oiYc9,Gu2UGEfze3Gg5cHuEC4jGbyCufgpev75RkVvBdKKtf12,10.0,TRANSFER,29UqxHhQDiWNfoZBe2PnKCjEYrjFVfU42vs3DK3oiYc9 transferred 10 SOL to Gu2UGEfze3Gg5cHuEC4jGbyCufgpev75RkVvBdKKtf12.,False,False,False
5HBYxVUxeVe2dBsDwaz4w85gJKWEJ5gmEzRqm8bQC4Z8jBGGXToKg86ik5BSiHnzyvvTy3XSyHKbnvPMBdf6NHBs,2025-08-09T19:33:38,358914244,5000,6fQaVhYZA4w3MBSXjJ81Vf6W1EDYeUPXpgVQ6UQyU1Av,29UqxHhQDiWNfoZBe2PnKCjEYrjFVfU42vs3DK3oiYc9,4.0,TRANSFER,6fQaVhYZA4w3MBSXjJ81Vf6W1EDYeUPXpgVQ6UQyU1Av transferred 4 SOL to 29UqxHhQDiWNfoZBe2PnKCjEYrjFVfU42vs3DK3oiYc9.,False,False,True
2pwz1T111cpiy5XmjXRdJqRLJd4y1XzhJoHtTLNXLGXGRSNorReWQzsgGsGdrby2eB29S4eHymhZYiDQP7SG5NsN,2025-08-09T19:33:31,358914227,5000,2WoQNgmc4SEXrR3rKQypmeWmsxGqHHE6rApnVrP6Pt77,29UqxHhQDiWNfoZBe2PnKCjEYrjFVfU42vs3DK3oiYc9,3.0,TRANSFER,2WoQNgmc4SEXrR3rKQypmeWmsxGqHHE6rApnVrP6Pt77 transferred 3 SOL to 29UqxHhQDiWNfoZBe2PnKCjEYrjFVfU42vs3DK3oiYc9.,False,False,True
Wi4jdGZprmiTyYJTUBcXUKGiri7zYXxvLdqio65vWMPK4yGDX9e6MxJfwUueCpAcMVXSj9MVaMKEQK6dci3Pymy,2025-08-09T19:33:22,358914204,5000,AsEF2SWSEZ1xpGZ5fdzDKaoka1XEtFSjGo39YUXkpvAh,29UqxHhQDiWNfoZBe2PnKCjEYrjFVfU42vs3DK3oiYc9,3.0,TRANSFER,AsEF2SWSEZ1xpGZ5fdzDKaoka1XEtFSjGo39YUXkpvAh transferred 3 SOL to 29UqxHhQDiWNfoZBe2PnKCjEYrjFVfU42vs3DK3oiYc9.,False,False,True
25uikLABwNVQebiRMwTsg83uziAwkrXGz8y5DRu6rV7k7hYGbZymwdBr8hgBABwAaVxA5twR9J3EMT9ty3Fxw8TB,2025-08-09T19:33:07,358914168,5000,ForLDu55GfA2U1aTUaitmjzjs92vvVn1MSqzY3D9HtAK,29UqxHhQDiWNfoZBe2PnKCjEYrjFVfU42vs3DK3oiYc9,3.0,TRANSFER,ForLDu55GfA2U1aTUaitmjzjs92vvVn1MSqzY3D9HtAK transferred 3 SOL to 29UqxHhQDiWNfoZBe2PnKCjEYrjFVfU42vs3DK3oiYc9.,False,False,True
3E81UpVtTSgXMBjtcEyzA8QdgRYnAUHNhSrvpVK1VEVcu1zTmKPMCbHW3r2NK4rKDnAgZwazs99sLWZwEgjjHDHV,2025-08-09T19:32:58,358914144,5000,Dz8rMcdokTLfbnNz2ZdYocZixgaA1TMqbA31xtwPgcxb,29UqxHhQDiWNfoZBe2PnKCjEYrjFVfU42vs3DK3oiYc9,2.0,TRANSFER,Dz8rMcdokTLfbnNz2ZdYocZixgaA1TMqbA31xtwPgcxb transferred 2 SOL to 29UqxHhQDiWNfoZBe2PnKCjEYrjFVfU42vs3DK3oiYc9.,False,False,True
4tmhobyvhsZwwYier5kd8RKvvnrUU9aH89MznkLLpcZSRzsTixR8jx25vRypLRDoHkT9wjDvBbh5yYRz1js3j2o9,2025-08-09T19:32:54,358914134,5000,CZubxabMM7CPFSDAfMUhxNuvXRDLjDf6yVVq1RoJ66rk,29UqxHhQDiWNfoZBe2PnKCjEYrjFVfU42vs3DK3oiYc9,1.0,TRANSFER,CZubxabMM7CPFSDAfMUhxNuvXRDLjDf6yVVq1RoJ66rk transferred 1 SOL to 29UqxHhQDiWNfoZBe2PnKCjEYrjFVfU42vs3DK3oiYc9.,False,False,True
