signature,slot,block_time,fee,compute_units,instruction_count,program_ids,account_count,total_positive_balance_changes,total_negative_balance_changes,hour,weekday,slot_rpc,block_time_rpc,fee_lamports_rpc,compute_units_rpc,compute_units_rpc_new
5TcJhEYJCe7m5c34DqY5tZyKoLCNfr2YVkcrTtFmNBeZtopZ5GuZvufue2sMQsTHEvS7nFw9uvvsmDSNBjbECJv,359004039.0,1754783930.0,105000.0,29597.0,3.0,"675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8, ComputeBudget111111111111111111111111111111",20.0,3708715976.0,3708820976.0,5.0,6.0,359004039.0,1754783930.0,105000.0,29597.0,29597.0
5A94scCADSe1V7ExtZSTm6AREc6f4j3J1AHBRgFmCDSvQJDZcMusGFvFLmw7yBjshUqtmNgzwGkiYjy2PJftrNAr,359004039.0,1754783930.0,105000.0,29585.0,3.0,"675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8, ComputeBudget111111111111111111111111111111",20.0,3719097196.0,3719202196.0,5.0,6.0,359004039.0,1754783930.0,105000.0,29585.0,29585.0
5sZSRr4jLkqhmE3MtMNWiuGCn4psNN3AKcod3JWu1LNemwhSBhmuA45tFMy5MZj3AVfzscHXNXDCJvzk3xtjysqX,359004018.0,1754783922.0,505000.0,29626.0,3.0,"675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8, ComputeBudget111111111111111111111111111111",20.0,7109720851.0,7110225851.0,5.0,6.0,359004018.0,1754783922.0,505000.0,29626.0,29626.0
4pHX9oC9h8WtcfzBG7jAe81EczN7pqXDuZ3XN6qYSUeWNhgBQ8UZctVnGixNRwyFcTN4ydhenY87J1VSVas48wjY,358999524.0,1754782167.0,505000.0,45811.0,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,0.0,505000.0,4.0,6.0,358999524.0,1754782167.0,505000.0,45811.0,45811.0
2jgCoyNUrD6bWRsFFtwfb775gvoZXaRTrHJAY2phZSFH8ucBzuCQjoXAYfvRMLexAXzecdr1gNTnPKFRs72ZfVcU,358993849.0,1754779942.0,505000.0,47326.0,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,0.0,505000.0,4.0,6.0,358993849.0,1754779942.0,505000.0,47326.0,47326.0
4vHeJU6coBmiqtiK79DM28hzTZV8z6jqPkMNBUGJgYNNoE6VmSsJb4Z4qmKyXn8kvnkbsD59b8K5r6KrrHWFZvPY,358987891.0,1754777585.0,505000.0,90997.0,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,7735293192.0,7735798192.0,3.0,6.0,358987891.0,1754777585.0,505000.0,90997.0,90997.0
2ipFh4oSQvzxUv4dr3iLbLGShSm3DAGwXcJqteA98RfkL7jA9fxCbKEBDuUZGjsSinKAK2vKyo1fg36CPgs7TMHZ,358986569.0,1754777047.0,505000.0,45796.0,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,0.0,505000.0,3.0,6.0,358986569.0,1754777047.0,505000.0,45796.0,45796.0
5qvz1xeCHUusoa5NWhZz2krx4mvbnHHvpfkCa458tsUpk3V9FTKcY8GYADWkU1TWqRDJvneycJZiLSzUNL6q9kdz,358981920.0,1754775193.0,505000.0,45827.0,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,0.0,505000.0,3.0,6.0,358981920.0,1754775193.0,505000.0,45827.0,45827.0
46kHGgT1Mp3FaBqfDRzV6voptg6yj1iExQtCcyhAiGsi3AKVhGxUfavo4cbMJDpH7R2xGejMByUpHdY4RrqyY2Um,358981197.0,1754774903.0,505000.0,15159.0,3.0,"675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8, ComputeBudget111111111111111111111111111111",20.0,0.0,505000.0,2.0,6.0,358981197.0,1754774903.0,505000.0,15159.0,15159.0
3GXrjMEPeV5UzYPBiCPXKQSff43o1LfE87TDvDsnNqwFQpCoW3okg27UnF1hRrvApfv1PKWdU9EimuQaXLXPzXEK,358977716.0,1754773518.0,105000.0,40233.0,3.0,"CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C, ComputeBudget111111111111111111111111111111",14.0,8972496597.0,8972601597.0,2.0,6.0,358977716.0,1754773518.0,105000.0,40233.0,40233.0
