signature,compute_units_rt,fee_lamports_rt,fee_sol_rt,latency_seconds_rt
4vHeJU6coBmiqtiK79DM28hzTZV8z6jqPkMNBUGJgYNNoE6VmSsJb4Z4qmKyXn8kvnkbsD59b8K5r6KrrHWFZvPY,,,,
67bR8fCjpNdP78xVxUuEuHrgCU7YYKGCxbkyZbtifCFhL2gbKGhoShtPwHmAYq6EYC1ciKV6BJFFsf4Fp6W36CMr,,,,
5TcJhEYJCe7m5c34DqY5tZyKoLCNfr2YVkcrTtFmNBeZtopZ5GuZvufue2sMQsTHEvS7nFw9uvvsmDSNBjbECJv,,,,
CVfHDVMY9jZsfHZKseN6TEFtnJEczqnrYvpHSC3GUQQnpddk1rDCNZNFq3xe9oR5XMs1Q9zLkqimhrrUP6weQoR,,,,
2ipFh4oSQvzxUv4dr3iLbLGShSm3DAGwXcJqteA98RfkL7jA9fxCbKEBDuUZGjsSinKAK2vKyo1fg36CPgs7TMHZ,,,,
4PiS3wvzVnB9fBSDD7wxQDCw6f4Ppgq9AnVNwoNWhuFtd2Cy9p9yBWDD4nRRicfcuNaeRAiEKA9VQ1w6aZhMUCGV,,,,
2jgCoyNUrD6bWRsFFtwfb775gvoZXaRTrHJAY2phZSFH8ucBzuCQjoXAYfvRMLexAXzecdr1gNTnPKFRs72ZfVcU,,,,
5n9Nk831iZiW3vdRuDMg1S7CrnP2qfPCWWsJfd9VCuBzuHCkE84YgNDH87ghWAwoigjJKyBCPXpgJPf61HPzG593,,,,
5rPmkLNWg1wAiK2Y2ra9FNQmx28c84xo5CxEjBAEkUMRKWLqY6B3Uo4scYfc77Q54x86UBFp7KgQwQTo7afcFpPG,,,,
4pHX9oC9h8WtcfzBG7jAe81EczN7pqXDuZ3XN6qYSUeWNhgBQ8UZctVnGixNRwyFcTN4ydhenY87J1VSVas48wjY,,,,
3E6UCUSXmmBcsWjbmQwcYpNxCTnoJweCaYUaK8vqW2NJCe4m9cygvvzk4HF288JqznTKMA2P4Nftrrv2Cx153A55,,,,
5qvz1xeCHUusoa5NWhZz2krx4mvbnHHvpfkCa458tsUpk3V9FTKcY8GYADWkU1TWqRDJvneycJZiLSzUNL6q9kdz,,,,
3GXrjMEPeV5UzYPBiCPXKQSff43o1LfE87TDvDsnNqwFQpCoW3okg27UnF1hRrvApfv1PKWdU9EimuQaXLXPzXEK,,,,
5sZSRr4jLkqhmE3MtMNWiuGCn4psNN3AKcod3JWu1LNemwhSBhmuA45tFMy5MZj3AVfzscHXNXDCJvzk3xtjysqX,,,,
649ZnAPBXQLz6CbT4dBrApsyaYpx4aQwePArj5xyCGi5jA4kzi69tgGdb2y7RKBGAhyyEi8M4aHq9VDpuS78MkBg,,105000.0,0.000105,69770.0
46kHGgT1Mp3FaBqfDRzV6voptg6yj1iExQtCcyhAiGsi3AKVhGxUfavo4cbMJDpH7R2xGejMByUpHdY4RrqyY2Um,,505000.0,0.000505,68348.0
26J1R6X3e3NoVoAm7EFJiLhvwousp4c3rjtYMPAUiCi4MfzDctND9so5iYTTS9VBswkUipcG44R41zDEJ9uEVPfW,,505000.0,0.000505,70660.0
24HZik6nr3qYA5wpF6F57xyZKrYsF6yi3tTBmLKDPYV9XhZrBk8xnuNqardsGGD3Nx17ycnpULUitobhcdx2FsgB,,505000.0,0.000505,79246.0
5A94scCADSe1V7ExtZSTm6AREc6f4j3J1AHBRgFmCDSvQJDZcMusGFvFLmw7yBjshUqtmNgzwGkiYjy2PJftrNAr,,105000.0,0.000105,59321.0
5GKd2rqsFiJFrduqrKfW4ES2ZfEdkupQsDc2AaD7iGvTzTUXQY9dmV7GSP3AooX3RXvZ2gJoHUSYg5VTHPwv86Rx,,105000.0,0.000105,70657.0
5wMgVbaxSnp5emLz5n5whJVEoqimNkfsGWt4jeiWgQM7iCoJMt3oRFVsgSo75Cg6C5z5EDhM5U9LJZtRYPxzAEXD,,,,
5ogcdrCz2fXR4bJVkPWNqZuhj2av651wKfBqn4yLF37obv1wcrUCVN7kcimHYwBNnHa9S6T7kCZCM6AHE4KCx58N,,,,
3TK6DeCWy3Zo9bam2mj87GFoPPG1eGKvMUSXwmumsrgM45eAy1PuFCK5grrtt7jMpFPCU4SrBt78hVCY888dhTB1,,,,
4SJX6o5kuLhZ4tfgSbnFgRnfAHq9jRSBJiao5YZxqDUURSiPEhTVmGDyBZSGQiAgiUui2SN4m7HfC1pJDVe1C1F2,,,,
5jtbGTogRaAJG9F44sw26JiJGq6JQkBL9BEDQWyMY8gTVEQMGE6cm6A1uRv3ZQN8Sy8SWJvWsr9vcPdXtB7NqrjE,,,,
3gyQaSNpone4UzPLzuXXY2KHL613rSnQQvVqZFvAiiHxigpUQ4UkrXwizntgVm71ExTr1BtJshVFzHer4eDDyQPA,,,,
36KZ3KWJEWeJDBSARZ1h2oqK4c4tZF25cMZjf3fQzkRoZBu1Th72au1L8mtujNpKNWgwCGKUm2SVgUd3193czWCX,,,,
3UxWHTDaomr6Ad8XHcQBojCxWsR3Aa7ThfMPL1HWjDTpZE5ZweeAKDwyCm53vd4xyLiMKgu8nvfpFKkCLJTLWPrY,,,,
2c9RDp16X6Pxdu7Yet8K3JgrfhNN3SAkrWmdnQezivUgQWsYyBBVBVEDNpsyNmotwfv1VJCfJhed9bVNVPNLXBAL,,,,
JDBc2JdaTBYwsacb4ujNZ7FXkoGUgaxoZqhE5KaeTXys1WPL3GSjbE39RARcq4eqZJRprbGYFdpr1tLpB54zqtX,,,,
5ka4erXoXQTaTukdfoLaEiKvgB6tVKwPkpgpDpLmEoNp9KbSWymZAYmZeMU474cqZHo3rGpLs5Se8MsTBrA99TN2,,,,
4JUQ5GddKe87rBnwwbENhGsuvYJyDBvN62QC738MavrXV6UQmd66v6XAHpqffjSXAbCdVMMekkgiGeTzLWNujPFN,,,,
3gaCQ1mFZaz8ogxKojJHYvpfJEnmKskwwTJqmaqwPj7CQYkxmJ2kipsMEQUSVnvJLxtu71EdAuoRskLsuV1aNNjq,,,,
3VLdJRKM6vfggD9kWD8iinpiWhAo5mg24ApFE5ThwGnTF7YraVYkib3TdDZgAzVqwv8mzsPBiedAsHKewopzjffK,,,,
5MTd2MFoy9TspiUExTYaSGxtRznWGqnjsftAsFh5B6YDDTND42XfYa8KLvFraRwAGrCMK2uGEAtPhPNT2XybPfYS,,,,
CivN2C7KNENHEhC2Bpq56vbP7E83EScM8bbGwtDmvbxFQwF2vnaYBmM4nixypBKSgNbNDPNwjZKoZbJc6Rwhgve,,505000.0,0.000505,85728.0
4Upwdp6jYzMTDdTGa3kVZYh7RRy4b4hAGjEfm2t7UCwKGyP2mgwsGjDeaYebZTJpyqYFUSEGxWM1EQpnCKLR7Qa9,,,,
4qgQfNF2Cg2BoFuEG7QxBt39J6eh7Q3WGtkcGVvAe57Q3SwSDE7YTmdT36CVUvMaBXqveHp4zktRsC3KvX9JcRU2,,,,
5AKUew7Sw2WidW5uzALuD7KECVpSSsJoGsCJc2q7eAwUgxpuZmniGJw2FBM4ALXLFDidjCap8aDoXbgCcDPgauJ9,,,,
29Dz3XiA581SZdb1ftmEtUWr9jiBwUZALCa9jpRoif5HgW1mbY1NXhRPhwPyBVPTJRDCmxnLkdAqLsqfGxoQoYca,,105000.0,0.000105,95093.0
5LL1yJBtnrdjw4ZgWy96sdmDU5K2bzQunJsDCJ4E1irSvgiiEVbM2LZVKajdhDSovAEsEXarep4LLdinVJqQ3HWy,,,,
5PeR1xnP4WY39WagNAGhVMHQmfMDwQQQbPMvw4fXCF4y3aLSN9ySAPpGD1NMdDwJZhQLA959cq7mfVopjb7uJnGb,,,,
4Z8aXyQvJ7LL8ucn6C4oKxDvrAPHf3dvU5sLo2LteGcnKXUSAYGckSzVZuULkV2hJufECm42vYAXoDkiinJcwosy,,,,
44cSf9JGbBg96QvMeQo9HdDP7qyQmWBPUAexsoZi4jHBiR41BVJMcqqDannza1mSYbmeucEkuBPhmgErdckAQrZM,,,,
3qYW7rzCMD4xG63VTgqfTRmqdx9KkhQBj9a19pXYdByo5kCFxTNFr2ZT9E9FgUpy9pjW73Nm8sZ3YvVyQ7wEB6n5,,,,
3wNXD74mYv6UBxfwPqJWaXWxw3wtt1V2r5Cyr87oA9EzADGE4idTYNByae4zWULVkvdDaHRMxtzZ7wSq8bsLkbw,,,,
5M16tKbNKZSgPUuzW3QQprBhbgEZS9bvuT6UcAirhxzr4b77Pz8YpMf1HuNSAq96bThod8pGrjdzkDhzFopVZx8,,,,
4Y3apA5FhnKKZkbQz11xLLbxUGW6gSuXCzbSK3c3iGgCzNgqDj2mQ6Dwtm6BtKD6DeWNACnRqQfqquGWoF9YKACE,,,,
4rcZrdZnSGsynofPHVzW99hjQ3nu3rE18q4ygF7pTdfhPqc7oNsjVSENUzKzqBAdKawE1sLQspiRbAiSYPB1hbtk,,,,
5qXmXpcvnEMXoSExSduaeLEVqPRTB73n8mo9Asnph5qzrTs1tmUgzyvwPVGsLhs6tHbGfFAye9Nshczn95qitrWE,,505000.0,0.000505,91295.0
5BZfKXob81vXPTuunzcgbwJYNauqoceFbheWYuCp6Lu5YdAFZ1vcCKbQ7wYv7ShCKtFnRNNkqVJhSPs4MfvEzsWV,,,,
3ULk7sVoKqmcK5cknytRzMW9YLrc7Uob7fGCymLnnyf9Aap86RKXr6NkMThVgLg3Un14kg2VfvqhBksBm5TBFx27,,105000.0,0.000105,102914.0
4UhroC7K7ZqAvJ7kKBdTTHvrBbPjbu41gyGeoyrbWiUcdWGLW6BngKu7DKiLHQtScENBBJfZFegREjagFQmH61m4,,,,
