signature,jito_tip_lamports
5tbY8PSB1rUiFwEz6QbiTycSftVELUCWR4M7bvosJhBXZzfEVpwpw9gsxLBxTYz73UxLLQ9oRfaWU4cv7NrWaHTE,97896
5MomyV9QMnHtfbGcBHVvn8ALGbDBjymAHfcPfW5iG6gvp9PM6Z6GFHKAoHsF9XxaeJJHv2zNTtY2dXEZWqLtAx2M,1014100
oe8zH6sZSBX8PYS7FwpNjtoeGGEPDQ5zrxSLgQyNkpKKk1EMVW4CCGqmGNeCfWVdvkRc9SC1tYeXtYVoQx78EtF,45426
42czLn8RqnLgc3SGtRnAs9nJv4aU2WjE4UWnoC5Kue4cqvtfVusV3MFe3SMm5U8YKEbcEahHaEAEQ4jWGum97RPu,33803332
vsSwiT4SpGy7fLrsNMQdqfiucTH15JvpnUzRifRafEE5jR8ogMQ2LxFr3mtKbSuEu1Zg1YZdFVAn4XiWqR2NoWe,21250963
5ReWX2iH7rV5ebN3TkdFzaFhyUAPhH1dKtSf8jdgKEx2waZLrKHDqpUuLUFWaQzykm8CpTNKVtt4pL3ERTEXU16v,25190849
4UZ5eYaJYguqBdzLxichXaeaoSidiHwWrfX9WzshFpWvDbWbGCVZMXbqH4xHWbPEzgpJp5rXD392iJUjqTUg4mM5,20477824
2CLUK3U4eMEhP5AkwC9QUYE9Xe41954QRXPtFz7hA6A1zarfUQGRPyfBFw54hA95EHmzHe6mskQWLEWFG1GcNVpZ,18739098
4gajSp4ejXZUP8nBXWhHkL4oZtVpK32EDkQgSzb46s4RhnHmJFvp36WTmsafzajqBkrJ6osNo5BmJwW8CxsuhxBE,17919982
2NYWFMeZgvBvE82Nf4PorDEE2V6xSw3UWADcLiC3jW5Wc1Ekg2NTcEWQfe6PToPHUmBiPMV5T6T7EyVXqyfPicoc,19156586
fUgDxcnjW6P6JK75jWLYPHV8BGJbJLm2MuDZAdZzizBAzwL3JfYEhuRV9Ntsjpvmo4iMyM8cC9b3iF3to7oX7NR,1014100
5QjpgNvjeLFpicv2aCmApdcorEcxK7ZhYxEd98yKhRwPFjLQgwV5Kt4986gsFvG6QxkqxPULLnE7QKLMhjidXT6h,20327075
5CNLsi7NoRHwB68MZFS1kBRVrxSgLp3V9Xk1MmF8h5nS5ugWF9hciTy3qwmDe3sKdLSz7n89uhnPEmf7FTs3fht9,1014100
27cmozQByFSFhj9nir22qi3vadwjD8MBQMXTumXxGTs8vsGL6T2rtadS8gmdRZNnnztNC6vB5ZWyHBY5mWZfRU4m,17116766
55kJiWK6KeDHcga3uFzRCem22hnK7K2gDV7NXT45ZR5jfaMXkKW3amRuLk6LpmrscNjeCwm1CZifEt9m4vAEB9AW,1014100
4HeLQbZC8ecsRs4xZCf8PCYxgjkstWNTxdBwffCgmzAqigaDbUJWXo6Qxm7MGtERMUk2FTu48XAT1TMojVXE8BP1,2129610
vTVYnPH35YMjqRESNDN4yhf27aBmUqcMYqDdDFL2DGnWc8KtKtxcBqaWpZ9AxFhxtuySYowFmUWXvH64vPjcFBo,1016000
3T1S8JxST2apRDEZenq7qYTKiLGbnzmv4Na4F1oPdTz5vXqnpueipbQKcuTXbH7JbnjfsWZvk2mze1feogwpsW8R,1014100
4GWVULqqiRaFabz1ShFcbwxmPiNE6HzbPSoEqhVw93jJRErdCVr7wNnc8MiFa3Pprn9XeNDKcnHJxkNMb5j41pgk,1016000
5qunLPNPz2jqF6EMJh71jDtri8QQL1JTg9u3fD7BzQpDDqfnKA76VzPiqrZ9E3cSxher1CXjgVmUySpzqNVpRDNd,1014100
3MTBHLPycjHp6cp5nhPpRGRiqzuVLupDbqDYY8px4p8RGxaQoCnZanoFgD3BrKpFv5CGrRLc4W3qnhGs9XGhLbXS,20883249
42Zz77PkfS35zXszTKAkfv5wFEP9TyCFARuv5X5HfVUccH4e1pbAjRsCoH3XHe5eUR3Hfbeyo8dCAFT8Frxh7P4n,1014100
3tAcUb1egzuVrhuMwKHLV6jHQFYCjjf3xvMGo3GESkimtHZy8iPa1oAwgQ3UVoRMLu27Area2ba6vqTkP4AGpHK5,24836320
3koDrTAbTU3pwr6pYtQ7FGsNDPqqnd4W1NB1AnoLQfZa4zgQhnTVajhbz3L8hEnFX37ADwLMR2b82N4p5rNacEUm,18336264
4kqZf3xV48SKtmXghX1XMb1vNjMmi2jCjkYAamyNkg27pAFwtEdPXj1Rk5kzX39qGpi91aCPe9MYVQiJajXB81Gk,20804146
27bMH2eA4fhHsBCfqTddQGwqsTxFataSrdYRsKytUtzJwpsk7i81rn2S7cF6vXRJBaLtK2U15TWi6fQgfM8mNZK6,18323758
63Mzw8SdnFoqr9unDFMk4AM73uHBm8ChYp2BZKYfAtNUFSxx3RXNEuybXP75oLnmdpzjk6v2JkuxUPwGNAjAvWTt,20221387
2RM6WsydzmnM9QiQXGypwLmf6GtQzPGo9xTr6NcMbVeSXigwWCkHoiKLWLXENfFjCda8874cUniDNtYvqt7QrYvN,25502
2mS8frTnyGZxXShq6WvdnFHXqiMiTvb2uEFXVn2kK8PsCKwc25fMHvp6hqYYxFLRurvz1QyjPv8WMZRGFVDPKXTx,27202
54JLJFr3zRdiRcnRHzJjtT4qzsPfZGpevNasJsvYJZH2QQCboxvMWXQrgS67Td1qtYC35nt2qMaP5qZyxa9MUzu3,18144326
5EdLhgNvarjkiEjvEcjAM7vsSNCgRxuU86EaHVX6WKzsgyDAPZb2FRDmBgxTvoayawfA6TFpvp4RWSDCqTqXZB6R,1009900
31HDYWJiwXMgF78AtNTxxccLDtUu1dv2CGUBg74LVW21rGDqrUGb47Dzk52JZancTs5QCxpm5v2GbAfQ3myQ7WaQ,18527654
3RL3F3CN7h2Br7sXnP6rYTc4FB4bJakYMK1WVz8JyPto3S8z1QWaHgunUuXb3i3CaaXbPKmXNZeL4tREbbJQrWHP,20619558
4GoURzWt69gzgzrTPahCK2ZrQ8GV9bGbutNkJqA8WB7MzYNQNvCp4DncyVPcPt54U71szbK3EiZram2GvZqtGkgP,19806652
2JudzjDH9RLBg3L7qJvL6w5zutSojxKLaVSYGEim8kGvoPZKcaCmmBfzFVMhbnY4gwyRc5ngfDECzPsMsN1bvnPP,56644869
2JN9tFLpsWwKwb4uqdnNiSYjHutHYdGrck8fLqTXRLYZi8hhdn3W25keXG69xtv15J46WjrWnRMwesPwY5P3veve,168953
2R55h7CeEZpkn65t9MNJDq6Eobnbf2gyEwSZGpYyye1n62hBTBEtf6LnmkhtiaeF4AvQwNqqrKaKYpuGC9RZLst1,101200000
