validator_identity,on_chain_tip_sol_count,on_chain_tip_sol_mean,on_chain_tip_sol_median,on_chain_tip_sol_sum,fee_sol_mean,fee_sol_sum,compute_units_rpc_mean,compute_units_rpc_sum,tip_per_cu_mean,tip_per_cu_median,fee_per_cu_mean,fee_per_cu_median,latency_seconds_mean,latency_seconds_min,latency_seconds_max,success_rpc_mean,success_rpc_sum,instruction_count_mean,accounts_count_mean,tip_volume_rank,efficiency_rank,success_rank
9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,28,0.002143,0.002,0.06,7e-06,0.000208,62142.857143,1740000,45.274725,46.153846,0.118767,0.116667,23.485714,10.8,36.0,1.0,28,4.428571,12.428571,1.0,2.0,1.0
Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM,28,0.002143,0.002,0.06,7e-06,0.000208,62142.857143,1740000,45.274725,46.153846,0.118767,0.116667,21.885714,18.8,24.8,1.0,28,4.428571,12.428571,1.0,2.0,1.0
58KprHKFNHgH1Cvo4QwxWkDeJNaSQVteCoAAFUWjtESn,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,16.285714,15.6,16.8,1.0,14,4.428571,12.428571,2.0,2.0,1.0
2E2JPuFhjkQvEJEeNGqVSwGLJa5GoFqabQTutGjg1bzw,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,5.085714,4.4,5.6,1.0,14,4.428571,12.428571,2.0,2.0,1.0
5ikB9XZNVsjwKb6hHT3FS3So1Z1SrDvU5yaniWEQyDEG,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,38.685714,38.0,39.2,1.0,14,4.428571,12.428571,2.0,2.0,1.0
6TkKqq15wXjqEjNg9zqTKADwuVATR9dW3rkNnsYme1ea,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,37.085714,36.4,37.6,1.0,14,4.428571,12.428571,2.0,2.0,1.0
6aDs9tUm2gErcPn2c1TZnp5cu2bQV9BzyuwW4baWQYd4,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,9.885714,9.2,10.4,1.0,14,4.428571,12.428571,2.0,2.0,1.0
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,22.685714,22.0,23.2,1.0,14,4.428571,12.428571,2.0,2.0,1.0
73hojLdq1vZDSxeVQEqVFJ4iwLngdvEJPEpEHkSdv6BZ,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,1.885714,1.2,2.4,1.0,14,4.428571,12.428571,2.0,2.0,1.0
BR1aTt4ZZUCwWJDkSYf1hqkYJjo7Mb7Ar8iVTkeSwUB8,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,27.485714,26.8,28.0,1.0,14,4.428571,12.428571,2.0,2.0,1.0
BeaCHioStqCEFDFxKwAEzyrUPYxqnBPhJ98gDKeEiTPb,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,3.485714,2.8,4.0,1.0,14,4.428571,12.428571,2.0,2.0,1.0
BiU1DNow77wGwSXW1bLmkcQe2cuySpkbz7xtbitD9Fmk,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,30.685714,30.0,31.2,1.0,14,4.428571,12.428571,2.0,2.0,1.0
CcJX66BQ2Y99GQNcojA4zjDSPG71NSXCRLH2CVei6h4v,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,13.085714,12.4,13.6,1.0,14,4.428571,12.428571,2.0,2.0,1.0
CMPSSdrTnRQBiBGTyFpdCc3VMNuLWYWaSkE8Zh5z6gbd,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,17.885714,17.2,18.4,1.0,14,4.428571,12.428571,2.0,2.0,1.0
DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,32.285714,31.6,32.8,1.0,14,4.428571,12.428571,2.0,2.0,1.0
